Name,Popularity,Album,Release,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Tempo,Instrumentalness,Valence,Duration
I Like It,49,I Like It,2018-06-22,0.816,0.726,5,-3.998,0.129,0.099,136.048,0.0,0.65,253.39
Original,64,Original,2018-06-29,0.798,0.487,1,-4.939,0.206,0.0682,151.02,0.0,0.292,246.36
Soltera - Remix,75,Soltera (Remix),2019-05-10,0.795,0.783,5,-4.271,0.0432,0.361,92.01,0.0,0.799,266.087
No Me Conoce - Remix,75,No Me Conoce (Remix),2019-05-17,0.794,0.79,10,-3.855,0.0599,0.144,91.984,0.0,0.577,307.547
Callaita,82,Callaita,2019-05-31,0.61,0.624,2,-4.773,0.309,0.6,176.169,2.12e-06,0.244,250.534
Bellacoso,69,Bellacoso,2019-07-26,0.774,0.851,11,-2.795,0.255,0.0651,180.086,0.0,0.695,257.865
Estamos Arriba,66,Estamos Arriba,2019-06-14,0.853,0.818,11,-3.6,0.0922,0.186,149.839,0.000255,0.546,225.694
Kemba Walker,70,Kemba Walker,2019-08-06,0.832,0.59,8,-7.168,0.272,0.446,146.939,1.43e-06,0.596,152.96
Subimos de Rango,60,Subimos de Rango,2019-08-21,0.809,0.653,6,-6.705,0.29,0.749,129.798,0.000253,0.73,266.092
Cántalo,56,Cántalo,2019-11-12,0.708,0.795,1,-4.71,0.116,0.0339,95.039,0.0,0.731,218.996
Yonaguni,94,Yonaguni,2021-06-04,0.644,0.648,1,-4.601,0.118,0.276,179.951,0.0,0.44,206.71
